Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena,Game ID,Cuota_L,Cuota_V
"Wed, Nov 24, 2021",7:30p,Brooklyn Nets,123,Boston Celtics,104,https://www.basketball-reference.com/boxscores/202111240BOS.html,"19,156",2:20,TD Garden,Wed_Nov_24_2021_Boston_Celtics,,
"Wed, Nov 24, 2021",8:00p,Chicago Bulls,113,Houston Rockets,118,https://www.basketball-reference.com/boxscores/202111240HOU.html,"16,074",2:17,Toyota Center,Wed_Nov_24_2021_Houston_Rockets,,
"Wed, Nov 24, 2021",8:00p,Toronto Raptors,126,Memphis Grizzlies,113,https://www.basketball-reference.com/boxscores/202111240MEM.html,"15,409",2:13,FedEx Forum,Wed_Nov_24_2021_Memphis_Grizzlies,,
"Wed, Nov 24, 2021",8:00p,Detroit Pistons,93,Milwaukee Bucks,114,https://www.basketball-reference.com/boxscores/202111240MIL.html,"17,341",2:04,Fiserv Forum,Wed_Nov_24_2021_Milwaukee_Bucks,,
"Wed, Nov 24, 2021",8:00p,Miami Heat,101,Minnesota Timberwolves,113,https://www.basketball-reference.com/boxscores/202111240MIN.html,"17,136",2:28,Target Center,Wed_Nov_24_2021_Minnesota_Timberwolves,,
"Wed, Nov 24, 2021",8:00p,Washington Wizards,102,New Orleans Pelicans,127,https://www.basketball-reference.com/boxscores/202111240NOP.html,"14,659",2:18,Smoothie King Center,Wed_Nov_24_2021_New_Orleans_Pelicans,,
"Wed, Nov 24, 2021",8:00p,Utah Jazz,110,Oklahoma City Thunder,104,https://www.basketball-reference.com/boxscores/202111240OKC.html,"14,081",2:08,Paycom Center,Wed_Nov_24_2021_Oklahoma_City_Thunder,,
"Wed, Nov 24, 2021",8:30p,Atlanta Hawks,124,San Antonio Spurs,106,https://www.basketball-reference.com/boxscores/202111240SAS.html,"13,161",1:57,AT&T Center,Wed_Nov_24_2021_San_Antonio_Spurs,,
"Wed, Nov 24, 2021",10:00p,Philadelphia 76ers,96,Golden State Warriors,116,https://www.basketball-reference.com/boxscores/202111240GSW.html,"18,064",2:30,Chase Center,Wed_Nov_24_2021_Golden_State_Warriors,,
"Wed, Nov 24, 2021",10:00p,Portland Trail Blazers,121,Sacramento Kings,125,https://www.basketball-reference.com/boxscores/202111240SAC.html,"14,997",2:28,Golden 1 Center,Wed_Nov_24_2021_Sacramento_Kings,,
"Fri, Nov 26, 2021",3:30p,Detroit Pistons,96,Los Angeles Clippers,107,https://www.basketball-reference.com/boxscores/202111260LAC.html,"18,139",2:08,Crypto.com Arena,Fri_Nov_26_2021_Los_Angeles_Clippers,,
"Fri, Nov 26, 2021",7:00p,Minnesota Timberwolves,115,Charlotte Hornets,133,https://www.basketball-reference.com/boxscores/202111260CHO.html,"19,314",2:04,Spectrum Center,Fri_Nov_26_2021_Charlotte_Hornets,,
"Fri, Nov 26, 2021",7:00p,Phoenix Suns,118,New York Knicks,97,https://www.basketball-reference.com/boxscores/202111260NYK.html,"19,812",2:07,Madison Square Garden (IV),Fri_Nov_26_2021_New_York_Knicks,,
"Fri, Nov 26, 2021",7:00p,Chicago Bulls,123,Orlando Magic,88,https://www.basketball-reference.com/boxscores/202111260ORL.html,"18,236",2:09,Amway Center,Fri_Nov_26_2021_Orlando_Magic,,
"Fri, Nov 26, 2021",8:00p,Toronto Raptors,97,Indiana Pacers,114,https://www.basketball-reference.com/boxscores/202111260IND.html,"13,508",2:06,Gainbridge Fieldhouse,Fri_Nov_26_2021_Indiana_Pacers,,
"Fri, Nov 26, 2021",8:00p,Atlanta Hawks,132,Memphis Grizzlies,100,https://www.basketball-reference.com/boxscores/202111260MEM.html,"16,622",2:03,FedEx Forum,Fri_Nov_26_2021_Memphis_Grizzlies,,
"Fri, Nov 26, 2021",8:00p,Washington Wizards,101,Oklahoma City Thunder,99,https://www.basketball-reference.com/boxscores/202111260OKC.html,"14,579",2:06,Paycom Center,Fri_Nov_26_2021_Oklahoma_City_Thunder,,
"Fri, Nov 26, 2021",8:30p,Boston Celtics,88,San Antonio Spurs,96,https://www.basketball-reference.com/boxscores/202111260SAS.html,"15,360",2:14,AT&T Center,Fri_Nov_26_2021_San_Antonio_Spurs,,
"Fri, Nov 26, 2021",9:00p,Milwaukee Bucks,120,Denver Nuggets,109,https://www.basketball-reference.com/boxscores/202111260DEN.html,"19,520",2:10,Ball Arena,Fri_Nov_26_2021_Denver_Nuggets,,
"Fri, Nov 26, 2021",9:00p,New Orleans Pelicans,98,Utah Jazz,97,https://www.basketball-reference.com/boxscores/202111260UTA.html,"18,306",2:19,Vivint Smart Home Arena,Fri_Nov_26_2021_Utah_Jazz,,
"Fri, Nov 26, 2021",10:00p,Portland Trail Blazers,103,Golden State Warriors,118,https://www.basketball-reference.com/boxscores/202111260GSW.html,"18,064",2:09,Chase Center,Fri_Nov_26_2021_Golden_State_Warriors,,
"Fri, Nov 26, 2021",10:30p,Sacramento Kings,141,Los Angeles Lakers,137,https://www.basketball-reference.com/boxscores/202111260LAL.html,"18,997",3:03,Crypto.com Arena,Fri_Nov_26_2021_Los_Angeles_Lakers,,
