Game ID,Date,Team_L,PTS_L,Racha_L,Team_V,PTS_V,Racha_V,Cuota_L,Cuota_V,Victoria_Local,PTS_Diff,MP,FG_L,FGA_L,FG%_L,2P_L,2PA_L,2P%_L,3P_L,3PA_L,3P%_L,FT_L,FTA_L,FT%_L,ORB_L,DRB_L,TRB_L,AST_L,STL_L,BLK_L,TOV_L,PF_L,FG_V,FGA_V,FG%_V,2P_V,2PA_V,2P%_V,3P_V,3PA_V,3P%_V,FT_V,FTA_V,FT%_V,ORB_V,DRB_V,TRB_V,AST_V,STL_V,BLK_V,TOV_V,PF_V
Fri_Jan_5_2024_Brooklyn Nets,2023-10-25,Brooklyn Nets,124,0,Oklahoma City Thunder,115,4,2.05,1.78,1,9,240,41,91,0.451,27,52,0.5192307692307693,14,39,0.359,28,33,0.848,20,31,51,25,9,3,15,24,45,84,0.536,36,53,0.6792452830188679,9,31,0.29,16,24,0.667,7,29,36,29,8,5,13,26
Fri_Jan_5_2024_Chicago Bulls,2023-10-25,Chicago Bulls,104,2,Charlotte Hornets,91,-6,1.71,2.17,1,13,240,40,74,0.541,30,46,0.6521739130434783,10,28,0.357,14,17,0.824,4,37,41,29,7,6,15,17,36,89,0.404,26,55,0.4727272727272727,10,34,0.294,9,12,0.75,12,30,42,20,7,1,13,20
Fri_Jan_5_2024_Cleveland Cavaliers,2023-10-27,Cleveland Cavaliers,114,2,Washington Wizards,90,-7,1.74,2.15,1,24,240,41,77,0.532,25,44,0.5681818181818182,16,33,0.485,16,23,0.696,12,40,52,31,9,1,24,19,35,84,0.417,26,54,0.48148148148148145,9,30,0.3,11,15,0.733,7,24,31,19,12,8,17,19
Fri_Jan_5_2024_Dallas Mavericks,2023-10-27,Dallas Mavericks,139,2,Portland Trail Blazers,103,-4,1.43,2.91,1,36,240,56,96,0.583,39,58,0.6724137931034483,17,38,0.447,10,15,0.667,10,42,52,35,11,8,17,21,39,95,0.411,26,55,0.4727272727272727,13,40,0.325,12,17,0.706,10,32,42,27,9,3,19,15
Fri_Jan_5_2024_Denver Nuggets,2023-10-24,Denver Nuggets,120,1,Orlando Magic,122,-1,1.51,2.63,0,-2,240,48,95,0.505,39,62,0.6290322580645161,9,33,0.273,15,19,0.789,9,29,38,28,8,1,13,23,41,82,0.5,24,46,0.5217391304347826,17,36,0.472,23,34,0.676,11,29,40,25,9,3,15,20
Fri_Jan_5_2024_Golden State Warriors,2023-10-24,Golden State Warriors,113,2,Detroit Pistons,109,-5,1.69,2.21,1,4,240,38,82,0.463,22,44,0.5,16,38,0.421,21,25,0.84,7,38,45,24,3,5,19,18,44,98,0.449,31,54,0.5740740740740741,13,44,0.295,8,10,0.8,10,30,40,25,8,9,11,23
Fri_Jan_5_2024_Houston Rockets,2023-10-29,Houston Rockets,95,4,Minnesota Timberwolves,122,2,3.17,1.37,0,-27,240,36,90,0.4,24,58,0.41379310344827586,12,32,0.375,11,15,0.733,7,31,38,18,7,2,15,15,46,88,0.523,32,55,0.5818181818181818,14,33,0.424,16,20,0.8,9,43,52,31,12,7,14,18
Fri_Jan_5_2024_Indiana Pacers,2023-10-27,Atlanta Hawks,116,-4,Indiana Pacers,150,1,1.93,1.89,0,-34,240,40,93,0.43,30,51,0.5882352941176471,10,42,0.238,26,30,0.867,14,25,39,21,6,3,14,11,60,94,0.638,41,55,0.7454545454545455,19,39,0.487,11,13,0.846,8,31,39,50,12,3,16,24
Fri_Jan_5_2024_Los Angeles Lakers,2023-10-26,Los Angeles Lakers,113,0,Memphis Grizzlies,127,-3,1.41,3.0,0,-14,240,42,85,0.494,32,57,0.5614035087719298,10,28,0.357,19,27,0.704,8,27,35,26,13,3,14,14,44,82,0.537,21,37,0.5675675675675675,23,45,0.511,16,20,0.8,6,38,44,33,8,4,19,20
Fri_Jan_5_2024_New Orleans Pelicans,2023-10-28,New Orleans Pelicans,95,-2,Los Angeles Clippers,111,6,1.68,2.25,0,-16,240,33,92,0.359,21,63,0.3333333333333333,12,29,0.414,17,23,0.739,14,29,43,22,9,5,9,17,40,82,0.488,25,46,0.5434782608695652,15,36,0.417,16,20,0.8,10,40,50,28,6,7,15,18
Fri_Jan_5_2024_Philadelphia 76ers,2023-10-25,New York Knicks,128,1,Philadelphia 76ers,92,5,2.44,1.58,1,36,240,43,89,0.483,25,48,0.5208333333333334,18,41,0.439,24,25,0.96,10,39,49,27,7,7,13,22,33,81,0.407,27,58,0.46551724137931033,6,23,0.261,20,27,0.741,8,30,38,22,8,9,14,18
Fri_Jan_5_2024_Phoenix Suns,2023-10-25,Miami Heat,97,4,Phoenix Suns,113,-3,1.22,4.37,0,-16,240,34,83,0.41,24,46,0.5217391304347826,10,37,0.27,19,22,0.864,11,33,44,26,5,2,16,21,44,87,0.506,30,52,0.5769230769230769,14,35,0.4,11,17,0.647,9,35,44,30,13,5,11,18
Fri_Jan_5_2024_Sacramento Kings,2023-10-27,Sacramento Kings,135,2,Toronto Raptors,130,-7,1.67,2.27,1,5,240,52,100,0.52,31,62,0.5,21,38,0.553,10,15,0.667,11,31,42,35,4,1,15,23,47,87,0.54,34,50,0.68,13,37,0.351,23,27,0.852,8,29,37,31,5,10,14,20
Fri_Jun_14_2024_Dallas Mavericks,2023-10-27,Dallas Mavericks,122,3,Boston Celtics,84,6,1.43,2.91,1,38,240,46,91,0.505,31,54,0.5740740740740741,15,37,0.405,15,22,0.682,13,39,52,21,7,2,9,17,29,80,0.363,15,39,0.38461538461538464,14,41,0.341,12,13,0.923,4,27,31,18,2,5,14,19
Fri_Mar_15_2024_Charlotte Hornets,2023-10-25,Charlotte Hornets,96,-7,Phoenix Suns,107,-2,2.47,1.57,0,-11,240,35,94,0.372,29,57,0.5087719298245614,6,37,0.162,20,27,0.741,12,36,48,20,6,3,5,16,40,87,0.46,29,49,0.5918367346938775,11,38,0.289,16,20,0.8,10,47,57,31,3,3,10,20
Fri_Mar_15_2024_Detroit Pistons,2023-10-28,Detroit Pistons,95,-6,Miami Heat,108,5,2.17,1.72,0,-13,240,36,84,0.429,26,46,0.5652173913043478,10,38,0.263,13,15,0.867,9,39,48,27,5,2,18,16,43,91,0.473,36,57,0.631578947368421,7,34,0.206,15,21,0.714,9,35,44,23,14,6,8,16
Fri_Mar_15_2024_New Orleans Pelicans,2023-10-28,New Orleans Pelicans,112,-1,Los Angeles Clippers,104,5,1.68,2.25,1,8,240,42,87,0.483,29,52,0.5576923076923077,13,35,0.371,15,20,0.75,9,31,40,28,8,2,9,21,37,77,0.481,25,44,0.5681818181818182,12,33,0.364,18,19,0.947,5,32,37,18,6,8,15,17
Fri_Mar_15_2024_San Antonio Spurs,2023-10-24,Denver Nuggets,117,2,San Antonio Spurs,106,-2,1.51,2.63,1,11,240,49,89,0.551,39,64,0.609375,10,25,0.4,9,12,0.75,7,33,40,37,13,5,13,20,37,81,0.457,26,52,0.5,11,29,0.379,21,27,0.778,12,32,44,23,6,4,17,13
Fri_Mar_15_2024_Toronto Raptors,2023-10-25,Orlando Magic,113,0,Toronto Raptors,103,-8,1.55,2.52,1,10,240,40,80,0.5,26,49,0.5306122448979592,14,31,0.452,19,22,0.864,6,33,39,25,7,4,15,15,38,81,0.469,24,47,0.5106382978723404,14,34,0.412,13,20,0.65,9,31,40,24,11,4,16,24
Fri_Mar_15_2024_Utah Jazz,2023-10-27,Atlanta Hawks,122,-5,Utah Jazz,124,0,1.93,1.89,0,-2,240,41,92,0.446,21,53,0.39622641509433965,20,39,0.513,20,27,0.741,11,30,41,32,7,5,9,16,46,90,0.511,32,54,0.5925925925925926,14,36,0.389,18,20,0.9,10,39,49,24,6,7,13,21
Fri_Mar_1_2024_Boston Celtics,2023-10-27,Boston Celtics,138,7,Dallas Mavericks,110,2,1.28,3.79,1,28,240,52,94,0.553,31,51,0.6078431372549019,21,43,0.488,13,13,1.0,9,38,47,33,4,8,9,15,44,94,0.468,35,60,0.5833333333333334,9,34,0.265,13,18,0.722,10,32,42,20,4,4,8,12
Fri_Mar_1_2024_Chicago Bulls,2023-10-26,Milwaukee Bucks,113,0,Chicago Bulls,97,1,1.4,2.99,1,16,240,37,86,0.43,22,40,0.55,15,46,0.326,24,32,0.75,11,38,49,22,7,4,7,18,36,86,0.419,25,59,0.423728813559322,11,27,0.407,14,16,0.875,7,37,44,25,4,2,12,21
Fri_Mar_1_2024_Detroit Pistons,2023-10-27,Cleveland Cavaliers,110,3,Detroit Pistons,100,-7,1.74,2.15,1,10,240,33,83,0.398,15,42,0.35714285714285715,18,41,0.439,26,30,0.867,12,41,53,25,7,6,16,20,33,89,0.371,23,53,0.4339622641509434,10,36,0.278,24,28,0.857,9,33,42,24,10,7,9,23
Fri_Mar_1_2024_Los Angeles Clippers,2023-10-28,Washington Wizards,115,-8,Los Angeles Clippers,140,6,1.91,1.91,0,-25,240,46,98,0.469,34,64,0.53125,12,34,0.353,11,15,0.733,9,30,39,29,5,3,10,17,54,94,0.574,41,62,0.6612903225806451,13,32,0.406,19,25,0.76,9,40,49,32,5,7,9,13
Fri_Mar_1_2024_Memphis Grizzlies,2023-10-25,Memphis Grizzlies,92,-4,Portland Trail Blazers,122,-3,1.85,1.96,0,-30,240,35,79,0.443,26,55,0.4727272727272727,9,24,0.375,13,22,0.591,8,22,30,15,6,8,23,17,48,92,0.522,35,61,0.5737704918032787,13,31,0.419,13,16,0.813,16,30,46,31,13,8,14,20
