Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena
"Sat, Feb 5, 2022",10:00p,Oklahoma City Thunder,103,Sacramento Kings,113,https://www.basketball-reference.com/boxscores/202202050SAC.html,"14,097",2:05,Golden 1 Center
"Sun, Feb 6, 2022",3:30p,Philadelphia 76ers,119,Chicago Bulls,108,https://www.basketball-reference.com/boxscores/202202060CHI.html,"20,233",2:14,United Center
"Sun, Feb 6, 2022",3:30p,Brooklyn Nets,104,Denver Nuggets,124,https://www.basketball-reference.com/boxscores/202202060DEN.html,"18,241",2:07,Ball Arena
"Sun, Feb 6, 2022",3:30p,Detroit Pistons,105,Minnesota Timberwolves,118,https://www.basketball-reference.com/boxscores/202202060MIN.html,"16,487",2:09,Target Center
"Sun, Feb 6, 2022",6:00p,Indiana Pacers,85,Cleveland Cavaliers,98,https://www.basketball-reference.com/boxscores/202202060CLE.html,"19,432",2:20,Rocket Mortgage Fieldhouse
"Sun, Feb 6, 2022",6:00p,Atlanta Hawks,94,Dallas Mavericks,103,https://www.basketball-reference.com/boxscores/202202060DAL.html,"19,887",2:14,American Airlines Center
"Sun, Feb 6, 2022",6:00p,Boston Celtics,116,Orlando Magic,83,https://www.basketball-reference.com/boxscores/202202060ORL.html,"14,402",2:05,Amway Center
"Sun, Feb 6, 2022",7:00p,New Orleans Pelicans,120,Houston Rockets,107,https://www.basketball-reference.com/boxscores/202202060HOU.html,"15,702",2:11,Toyota Center
"Sun, Feb 6, 2022",9:00p,Milwaukee Bucks,137,Los Angeles Clippers,113,https://www.basketball-reference.com/boxscores/202202060LAC.html,"17,395",2:08,Crypto.com Arena
"Mon, Feb 7, 2022",7:00p,Toronto Raptors,116,Charlotte Hornets,101,https://www.basketball-reference.com/boxscores/202202070CHO.html,"14,102",2:09,Spectrum Center
"Mon, Feb 7, 2022",7:00p,Miami Heat,121,Washington Wizards,100,https://www.basketball-reference.com/boxscores/202202070WAS.html,"14,222",2:12,Capital One Arena
